timestamp,node,raw_line
06:23:38.937,MASTER,[TX] POLL:2
06:23:38.967,S1,[IGNORE] POLL:2
06:23:38.969,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 7
06:23:38.969,S2,[TX] S2:DATA:7
06:23:39.005,S1,[IGNORE] S2:DATA:7
06:23:39.007,MASTER,[RX] S2:DATA:7 | RSSI: -39 dBm | SNR: 8.00 dB
06:23:39.011,MASTER,--- STATISTIK ---
06:23:39.011,MASTER,S1: OK=6 | FAIL=1 | Data: 6
06:23:39.016,MASTER,S2: OK=7 | FAIL=0 | Data: 7
06:23:39.016,MASTER,Durasi siklus: 148 ms
06:23:39.020,MASTER,========================================
06:23:39.519,MASTER,========================================
06:23:39.520,MASTER,=== CYCLE 8 ===
06:23:39.520,MASTER,[TX] POLL:1
06:23:39.550,S2,[IGNORE] POLL:1
06:23:39.553,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.25 dB | RX#: 7
06:23:39.554,S1,[TX] S1:DATA:7
06:23:39.591,S2,[IGNORE] S1:DATA:7
06:23:39.593,MASTER,[RX] S1:DATA:7 | RSSI: -55 dBm | SNR: 9.50 dB
06:23:39.593,MASTER,[TX] POLL:2
06:23:39.623,S1,[IGNORE] POLL:2
06:23:39.628,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 8
06:23:39.628,S2,[TX] S2:DATA:8
06:23:39.664,S1,[IGNORE] S2:DATA:8
06:23:39.667,MASTER,[RX] S2:DATA:8 | RSSI: -40 dBm | SNR: 8.00 dB
06:23:39.667,MASTER,--- STATISTIK ---
06:23:39.671,MASTER,S1: OK=7 | FAIL=1 | Data: 7
06:23:39.671,MASTER,S2: OK=8 | FAIL=0 | Data: 8
06:23:39.675,MASTER,Durasi siklus: 147 ms
06:23:39.679,MASTER,========================================
06:23:40.175,MASTER,========================================
06:23:40.179,MASTER,=== CYCLE 9 ===
06:23:40.179,MASTER,[TX] POLL:1
06:23:40.206,S2,[IGNORE] POLL:1
06:23:40.212,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.25 dB | RX#: 8
06:23:40.213,S1,[TX] S1:DATA:8
06:23:40.247,S2,[IGNORE] S1:DATA:8
06:23:40.248,MASTER,[RX] S1:DATA:8 | RSSI: -55 dBm | SNR: 9.75 dB
06:23:40.252,MASTER,[TX] POLL:2
06:23:40.282,S1,[IGNORE] POLL:2
06:23:40.284,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 9
06:23:40.284,S2,[TX] S2:DATA:9
06:23:40.319,S1,[IGNORE] S2:DATA:9
06:23:40.322,MASTER,[RX] S2:DATA:9 | RSSI: -40 dBm | SNR: 8.00 dB
06:23:40.326,MASTER,--- STATISTIK ---
06:23:40.326,MASTER,S1: OK=8 | FAIL=1 | Data: 8
06:23:40.330,MASTER,S2: OK=9 | FAIL=0 | Data: 9
06:23:40.330,MASTER,Durasi siklus: 148 ms
06:23:40.334,MASTER,========================================
06:23:40.835,MASTER,========================================
06:23:40.835,MASTER,=== CYCLE 10 ===
06:23:40.838,MASTER,[TX] POLL:1
06:23:40.865,S2,[IGNORE] POLL:1
06:23:40.869,S1,[RX] POLL:1 | RSSI: -62 dBm | SNR: 9.25 dB | RX#: 9
06:23:40.869,S1,[TX] S1:DATA:9
06:23:40.906,S2,[IGNORE] S1:DATA:9
06:23:40.908,MASTER,[RX] S1:DATA:9 | RSSI: -56 dBm | SNR: 9.75 dB
06:23:40.908,MASTER,[TX] POLL:2
06:23:40.938,S1,[IGNORE] POLL:2
06:23:40.943,S2,[RX] POLL:2 | RSSI: -33 dBm | SNR: 8.75 dB | RX#: 10
06:23:40.943,S2,[TX] S2:DATA:10
06:23:40.980,S1,[IGNORE] S2:DATA:10
06:23:40.981,MASTER,[RX] S2:DATA:10 | RSSI: -40 dBm | SNR: 5.50 dB
06:23:40.982,MASTER,--- STATISTIK ---
06:23:40.985,MASTER,S1: OK=9 | FAIL=1 | Data: 9
06:23:40.990,MASTER,S2: OK=10 | FAIL=0 | Data: 10
06:23:40.990,MASTER,Durasi siklus: 147 ms
06:23:40.993,MASTER,========================================
06:23:41.494,MASTER,========================================
06:23:41.494,MASTER,=== CYCLE 11 ===
